"Name","Category","Author","Description","Rating","Num of Reviews","ASIN","Application ID","Release Date","Invocation Name","Example Interaction 1","Example Interaction 2","Example Interaction 3","Privacy Policy","Terms of Use","In-App Purchasing"
"A fan's trivia about the San Francisco Giants","Sports","mine","This is a fan's trivia app covering some of the more recent history of Major League Baseball's San Francisco Giants. \n\nTo start, try saying...\nAlexa, ask Giants Trivia.\n\nWorld Series info, player info, and team info are all covered. You will be asked 5 questions of the multiple choice variety. After each question is asked, you will be given 3 options. Once you submit your answer, Alexa will tell you if your answer is correct, or Alexa will give you the correct answer, and give you the total number of questions you have answered correctly. Once you have answered 5 questions, the game is over. \nYou can play multiple times to see how well you know the Giants.",0,0,"B01CE78A5S","amzn1.echo-sdk-ams.app.d70a5d71-729a-41c9-bacf-ce62fa520c79","2016-03-01 02:33:59","giants trivia","Alexa, ask giants trivia","One","Two","","","No"
"A Yo Mama Joke","Entertainment","Mark-It, Inc.","This skill will randomly pick from over 2,000 Yo Mama Jokes.  The types of Yo Mama Jokes we have are ""dumb"", ""fat"", ""small house"", ""old"", ""poor"", ""short"", ""skinny"", ""stupid"", ""ugly"" and ""body part"".\n\nPlease note, this skill contains crude humor.  As such, the skill may not be suitable for all ages.",3.7,8,"B01BLXRLDI","amzn1.echo-sdk-ams.app.0ed51810-d3ed-4b51-aa77-4f7c6573703b","2016-02-09 18:24:27","yo mama joke","Alexa, open Yo Mama Joke","Alexa, ask Yo Mama Joke for a Yo Mama So Fat Joke","Alexa, ask Yo Mama Joke for a Yo Mama So Dumb Joke.","","","No"
"Ability Trivia for League of Legends","Games","Sly Software","You might know that Blitzcrank's ultimate does AOE damage and silences foes, but do you know what it's called? Test your knowledge with this app; your future shoutcasting career will thank me. (Disclaimer: This is a fan-made app, and I am quite the fan!)",0,0,"B01EDBJSC2","amzn1.echo-sdk-ams.app.d923812e-8c0f-49dc-8a36-a1fc2b44ddb5","2016-04-21 19:08:27","league trivia","Alexa, launch league trivia","Repeat","Help","","","No"
"abode","Home-Automation","abode systems, inc.","abode is the first professional-grade, self-installable home security solution with no contracts that also allows you to control locks, lights, thermostats, and other popular connected devices.\n\nFor more information on the abode Home Security system, please visit http://goabode.com.\n\nFor more information on controlling your abode Home Security system with Alexa, please visit http://support.goabode.com/customer/portal/articles/2321595\n\nTo add the abode Alexa skill, you must have your abode system set-up and a user account created at http://my.goabode.com.",5,1,"B01DMKNHXG","amzn1.echo-sdk-ams.app.c67f3916-0532-4346-bf77-6c5418ec4350","2016-04-14 08:02:42","abode","Alexa Tell abode that I am leaving","Alexa Tell abode that I am home","Alexa Ask abode what is the current mode","http://support.goabode.com/customer/en/portal/articles/2232128-privacy-policy","http://support.goabode.com/customer/en/portal/articles/2232125-terms-of-use","No"
"Abra","Games","Recursive Records","To play Abra, say ""Alexa start Akinator!"" Abra will surprise you when it can guess a character you were sure you could stump it with. It is a great party game and will leave your guests wondering how in the world Alexa figured it out. Think of any character in the world and say ""Alexa start Akinator"". Go on, be amazed!\n\nPlease note: Abra can guess ANY character, and some questions may not be suitable for all ages. Player discretion is advised.",3.7,60,"B01AH90EAO","amzn1.echo-sdk-ams.app.7fe0688e-93d6-4de3-9525-88dcfa4f439b","2016-01-11 18:17:10","akinator","Alexa start Akinator","I think so","Yes absolutely!","","","No"
"According to Bob","Games","AHA!","In ""According to Bob"" , Alexa will ask you 6 questions about Bob Dylan's prose. This is a multiple-choice quiz, so Alexa will provide you with four choices. Most of the time, all of the choices come directly from the mind of Bob Dylan.  Some questions are easy, some obscure. Some are hysterical, some are lame, but all of them demonstrate what a colorful world Bob Dylan lives in. \n\nScore a point for each correct answer, although I don't know what good it will do you!\n\nTo play, just say ""Alexa, play According to Bob""",0,0,"B01EWIJNHQ","amzn1.echo-sdk-ams.app.4b5c58dc-369c-4302-b180-8a6ca1fe1610","2016-05-06 07:38:35","according to bob","Alexa, play According to Bob","Can I have a hint?","Skip this question.","","","No"
"AccuWeather","Other","AccuWeather","Stay connected to the latest in weather forecasting with AccuWeather – Weather for Life. Ask for weather alerts, sunrise, sunset, moonset, moonrise & moon phase. \n\nOnly supports United States cities. New features to come!\n\nIf you have any suggestions, feel free to send feedback!",1.3,46,"B01A06BU8E","amzn1.echo-sdk-ams.app.e7e5a4db-2ac1-4e78-a24c-0b8caa49f1f5","2015-12-30 18:19:54","accuweather","Alexa, start AccuWeather.","Alexa, ask AccuWeather if there are any weather alerts.","Alexa, ask AccuWeather what time the sun will rise.","http://www.accuweather.com/en/privacy","http://www.accuweather.com/en/legal","No"
"Acoustic Chord","Music","TsaTsaTzu","Acoustic Chord hosts a library of the most common guitar chords. Simply ask it to play a specific chord, and it will first pluck out and then strum that chord. Meanwhile, on the companion app, it will display the all the variant tabulatures for that chord. You can say ""repeat"" to play a chord again, or ""alternate"" to cycle through and hear what the other tabulatures sound like.",2,3,"B01E3XNCKE","amzn1.echo-sdk-ams.app.b3b1653a-481c-4092-98a2-3dec18d7539a","2016-04-12 18:02:32","acoustic chord","Alexa, ask Acoustic Chord to play D seventh","repeat","next","http://ocean-of-storms.com/tsatsatzu/legal/at_policy.htm","http://ocean-of-storms.com/tsatsatzu/legal/at_terms.htm","No"
"Acoustic Metronome","Music","TsaTsaTzu","This skill is an acoustical metronome that plays a regular drumbeat. You can use it to time yourself or to help you keep the beat while practicing music. You can pick any rate between 40 and 199 beats per minute. It will play the beats for up to 90 seconds. If you want more, you can ask it to repeat, or switch to a new rate. When you are done, you can say ""Alexa stop"" to terminate it.",3,6,"B01B6UGXXK","amzn1.echo-sdk-ams.app.0d1f536e-568b-40f1-ab73-718bbbafc58f","2016-01-28 21:12:01","metronome","Alexa, open metronome","Alexa, ask metronome to play 60","Alexa, ask metronome to play 120","http://ocean-of-storms.com/tsatsatzu/legal/am_privacy.htm","http://ocean-of-storms.com/tsatsatzu/legal/am_terms.htm","No"
"Acoustic Tuner","Music","TsaTsaTzu","If you play a musical instrument (or sing) it is important to keep in pitch. This skill will play a pitch perfect tone (to the concert A440 standard) for you to tune against your instrument. It can play from the first to the tenth octave. To hold a tone longer, ask it to ""repeat"". Or you can say another tone to play. If you want to cut it off, say ""Alexa stop"".",3.5,2,"B01E3XNLNW","amzn1.echo-sdk-ams.app.b695ee6f-70c7-4179-a1c6-cf299d289bd1","2016-04-15 16:02:28","acoustic tuner","Alexa, open acoustic tuner","Alexa, ask acoustic tuner to play middle c","Alexa, ask acoustic tuner to play a octave five","http://ocean-of-storms.com/tsatsatzu/legal/at_policy.htm","http://ocean-of-storms.com/tsatsatzu/legal/at_terms.htm","No"
"Admirer","Social","Edmonds LLP","Have you ever just wanted a little compliment? The Admirer application does just that. It will lift your spirits by giving you a compliment making your day just a little bit better.",1.9,15,"B019HU8AMS","amzn1.echo-sdk-ams.app.2e2892c7-7100-4c78-a454-b77c05c9fe8b","2015-12-17 18:11:34","my admirer","""Alexa, tell my admirer to make me smile.""","""Alexa, ask my admirer to say something nice.""","""Alexa, ask my admirer to cheer me up.""","","","No"
"Adventure","Entertainment","Markley Enterprises LLC","The Adventure skill enables you to choose an adventure and interact with it by choosing different options at the end of each section. Depending on the choices you make, the story will change and you will have a different experience.\n\nThis skill and its stories may not be suitable for all ages.\n\nNew adventures will be added over time. If you'd like to suggest stories or corrections, contact @VoiceGameDev on twitter.",1,2,"B01BG0V29U","amzn1.echo-sdk-ams.app.55c3b569-814d-4af1-b25a-d0809130b2b7","2016-02-03 18:16:12","adventure","Alexa, open adventure and play dave of doom.","Alexa, open adventure and what can I play today?","Alexa, open adventure and X. Y. Z. Z. Y.","http://www.joiney.com/privacy.html","http://www.joiney.com/terms.html","No"
"Aether Air Quality Reporter","Utilities","JabberJaw","Retrieves the current air quality of most major U.S. cities.  To use aether, try saying....\n\nAlexa, Ask Aether about Minneapolis.\n\nRetrieves the current air quality index (AQI) of pm 2.5 from www.airnowapi.org.",5,1,"B01EQJ7UGC","amzn1.echo-sdk-ams.app.cf3fe37a-7ba8-4c68-a091-832b8dec0f58","2016-04-27 08:38:37","ether","Alexa, ask Aether about Minneapolis.","Alexa, ask Aether for the air quality in Dallas.","","","","No"
"Age Calculator","Other","Mike Christianson","The Age Calculator helps you calculate age between now and a given date, whether in the past or future. Depending on the length of time, it will provide the number of days, months, or years, as appropriate. When the year is unspecified, the next year will be used by default.",2.1,31,"B0189WBV3U","amzn1.echo-sdk-ams.app.ae05c636-fcc3-4895-a645-37d46c9adcb2","2015-11-20 17:26:36","age calculator","Alexa, ask Age Calculator, how old is someone born on June 12, 2015?","How long ago was June 12, 2015?","How long has it been since June 12, 2015?","","","No"
"Agog Reader","Social","Agog Inc.","Listen to the last 10 tweets of the most popular twitter accounts.\n\nPlease send feedback to alexa@agog.com.\n\nFor updates sign up for the email list at http://agog.com/email/AgogReader",2.2,11,"B019YOS8TM","amzn1.echo-sdk-ams.app.eb68c703-af77-43c6-b1d1-9e7cb979c15a","2015-12-29 17:48:57","agog reader","Alexa, ask Agog Reader for Barack Obama.","Alexa, ask Agog Reader for tweets from Donald Trump.","Alexa, ask Agog Reader about Katy Perry.","","","No"
"Air Quality","Utilities","Bio-Teck","This skill reports the air quality index for US zip codes.  The data is sourced from the U.S. EPA AirNow program.",5,1,"B01EEHSP0Q","amzn1.echo-sdk-ams.app.c4153cc2-b53d-4994-b498-ce64fd62b0f6","2016-05-03 07:11:44","air quality","Alexa, ask air quality to get me the report for 07753","Alexa, ask air quality for the forecast for 07753","Alexa, ask air quality what's the forecast for 07753","","","No"
"Air Quality Meter","Health-and-Fitness","James Co","Alexa will provide you real time air quality rating for major U.S. cities. This info is helpful for health conscious individuals or people who have respiratory problems such as Asthma.\n\nThere are five Air Quality ratings provided - Excellent, Fair, Moderate, Low and Poor.\n\nTo begin, simple say ""Alexa, launch Air Quality Meter"". Then you can ask ""What is the air quality in zip code 98105 ? or simply say the 5 digit zip code."" For help, simply say ""Help"" or to quit this app, simply say ""Cancel"".",2.2,4,"B01DOFHDWA","amzn1.echo-sdk-ams.app.b319682d-7649-43dc-a7ba-582f0c74441f","2016-04-15 19:03:03","air quality meter","Alexa, launch Air Quality Meter","Help","What is the air quality in zip code 98105 ?","","","No"
"Air Quality Report","Health-and-Fitness","ICM","This skill retrieves air quality report containing current levels for Ozone, Small Particles (if reported) and Large Particles (if reported) for any US 5-digit ZIP code, using date provided by the US Environmental Protection Agency (EPA).",0,0,"B01EOFCHMA","amzn1.echo-sdk-ams.app.ebcc5b62-6c66-4856-9601-ca3cef1aa2fb","2016-05-04 08:38:32","air quality report","Alexa, ask air quality report for zip code nine eight one zero nine","Alexa, ask air quality report in zip code nine eight one zero nine","Alexa, ask air quality report at zip code nine eight one zero nine","","","No"
"Alarm.com","Home-Automation","Alarm.com","Control your Alarm.com system with your voice.",3.8,13,"B01DOP9H2O","amzn1.echo-sdk-ams.app.177a1019-e465-44f1-b4fd-cdf3d76bfb40","2016-03-31 18:34:50","alarm dot com","Alexa, tell Alarm Dot Com to turn on the lights.","Alexa, ask Alarm Dot Com what the temperature is","Alexa, tell Alarm Dot Com to lock the doors","http://www.alarm.com/privacy_policy.aspx","","No"
"All Knowing Eight Ball","Entertainment","Kovacich Overengineering","It's a game as simple as the people who put stock in it: ask the 8 ball a Yes or No question, get an answer to guide you, through the power of Speculation Science. Ask again if you don't like that answer, but you may incur the wrath of the All Knowing 8 Ball! It's some pretty serious wrath. Like, you can't get this wrath through customs. \n\nThe Alexa app will track your questions and their answers, so if you ever need to refer back to the great wisdom you received, just check the cards in your Alexa app and you can review each question and answer.",4,2,"B01D0JI7CA","amzn1.echo-sdk-ams.app.fb0731ae-b748-45c7-8577-0c57749a8c49","2016-03-15 14:47:03","the eight ball","Alexa, ask the 8 ball whether the Cubs will ever win the World Series","Alexa, ask the 8 ball if I should ask her out","Alexa, ask the 8 ball: will Don Rickles ever die?","","","No"
"Almond - Router and Home Automation","Home-Automation","Securifi Inc.","Alexa can now control Almond features such as Scenes and Modes. Control multiple devices and actions and to set Home/Away Modes.\n\nScenes enable you to control multiple devices with just one tap of a button. For example a single scene can dim all the lights and set the temperature just right for that special dinner date. To activate a Scene named Dinner say, ""Alexa, tell Almond to activate Dinner Scene"" or say, ""Alexa, tell Almond to set Dinner Scene"".\n\nHome/Away Modes together with our rules enable you to create intuitive automation. For example, when you arrive home between 6:00-9:00 p.m. weekdays, Almond will disarm the alarm, turn on the porch light for five minutes, and then set the thermostat to 70 F. To set a Mode on Almond using Alexa, you can say, ""Alexa, tell Almond to be in Home Mode"", or simply say ""I am Home"" after starting the skill. \n\nPlease note the minimum requirements for using Scenes and Modes with Almond:\nYour have an Almond +/Almond 2015 router with the updated firmware.\nAlmond+ : AP2-R085-L009-W016-ZW016-ZB005\nAlmond 2015 : AL2-R091\n\nYour Almond App (iOS/Android) is updated to the latest version.\nAndroid v6.0\niOS v2.0\n\nAn Almond account that you can create using the Almond App.\n\nSETUP: Enable the skill on Alexa and use your Almond account credentials to login",5,1,"B01BLPITFK","amzn1.echo-sdk-ams.app.0afff5d3-1615-4c87-af8d-f9e116998d33","2016-02-09 11:06:04","almond","Alexa, start Almond and Activate Dinner Scene","Alexa, tell Almond to be in Home Mode","Alexa, tell Almond that I am going Away","https://connect.securifi.com/prpo","https://connect.securifi.com/tou","No"
"ALOP-Pilates-Class-Skill","Health-and-Fitness","A Lot Of Pilates","This Skill will guide you through a Pilates sequence of exercises. If you are familiar with Pilates it will be a joy to have Alexa teach you a Pilates class. The class is a Basic Beginner Pilates Class and it lasts about 20-30 minutes long. All you need for this class is a Pilates mat and the wiliness to feel great! To learn more about Pilates exercies and take a variety of Pilates class including video classes, visit ALotOfPilates.com",5,2,"B01DKH76EC","amzn1.echo-sdk-ams.app.ef7b5d42-f176-4806-9ea3-6ef6d041c2aa","2016-04-05 06:02:28","pilates class","Alexa, start pilates class","Alexa, start pilates class and go","Alexa, start pilates class and begin","http://www.alotofpilates.com/terms","http://www.alotofpilates.com/terms","No"
"Always Sunny Trivia","Games","Jeenyus","Anwer trivia questions about Always Sunny in Philadelphia characters and episodes.  This will keep score as you answer, try to beat your family and friends!  \n\nThere are plenty of questions to answer and each game is different!",4.3,3,"B01DFJNRHU","amzn1.echo-sdk-ams.app.f8afbe93-2921-4a38-b12a-f34d3c0e651f","2016-03-25 11:27:30","always sunny trivia","Ask Always Sunny trivia","Repeat","Help","","","No"
"Amazing India","Education","SUDHI","To know about India, India's History and amazing facts about India. We created around 100 of amazing facts about India.",4.5,2,"B01DOTXR1C","amzn1.echo-sdk-ams.app.4f4f0115-373a-4ab8-b5d0-897d518e96f2","2016-04-14 04:32:36","namaste","Alexa ask Namaste","Alexa, Launch Namaste and tell me an amazing India fact.","Alexa, start Namaste and give me an amazing India fact.","","","No"
"Amazing Word Master Game","Games","SAKET AGARWAL","Word Master is an interactive way to learn and challenge yourself with words. Alexa starts by saying a word. You then have to respond back with a word that begins with the letter in which Alexa’s word ended. Alexa then does the same in response to your word. As you say words, you earn scores with each word. The longer your word, the higher your score. Compete with Alexa and folks at home to make a higher score. Playing with words was never so much fun!\n\nThe game continues until someone fails to respond to the next word or you say Exit.",3.8,106,"B017OBSCOS","amzn1.echo-sdk-ams.app.d6b53286-5fec-4e66-84c4-07ff80e7c58b","2015-11-06 14:16:09","word master","Alexa, ask Word Master to play a game","Alexa, ask Word Master to start with ""Apple""","Alexa, open Word Master","","","No"
"American Basketball Trivia","Entertainment","Rafa","Alexa asks 5 trivia questions and the user gets scored based on correct answers. The questions range from present, to historical information.",0,0,"B01EHEI6Z0","amzn1.echo-sdk-ams.app.3bf939e2-bf91-41a2-a335-2153b8c3bd10","2016-04-25 08:38:30","american basketball trivia","Alexa, ask american basketball trivia","my answer is Two","I don't know this question","","","No"
"American History Quiz","Education","Joseph Caintic","This test asks basic facts about the United States of America in a multiple choice format, enhancing users' knowledge of United States history!\n\nThe user can get started by asking ""Alexa, Ask American History Quiz"". There are no prerequisites besides having access to an Alexa-enabled device.",0,0,"B01E4C70XO","amzn1.echo-sdk-ams.app.a8d3d135-d78c-40ff-bbcc-43c18a9a5bd5","2016-04-13 07:32:29","american history quiz","Alexa ask american history quiz","start new game","i don't know","","","No"
"Ancient China Facts","Education","SC","some brief facts on ancient Chinese history, well, if you are interested to ask",3.5,2,"B01DQ7QONU","amzn1.echo-sdk-ams.app.623d49d5-658a-4501-80ac-f6737f373060","2016-04-07 09:32:31","ancient china facts","Alexa, launch ancient china facts","Alexa, ask ancient china facts to tell me a fact on ancient china","Alexa, ask ancient china facts to give me some ancient china information","","","No"
"Angry Bard","Games","LME Skills","Have at you, knave! The Angry Bard skill is ready to throw barbs from the Bard anytime you like. Each insult is a quote selected from among the works of William Shakespeare, given together with the name of the piece from which it's taken. A text copy of the quote and its source are also sent to the Alexa app.",2,31,"B017OBNX7Y","amzn1.echo-sdk-ams.app.f30f1c78-71d6-4a85-bb92-6cb1dfc36c78","2015-11-06 14:12:49","angry bard","Alexa, ask Angry Bard for a burn.","Alexa, launch Angry Bard and tell me about it.","Alexa, tell Angry Bard to slander me.","","","No"
"Angular Trivia","Education","Pedro Urbina","This is a quiz application for use by angular developers or those looking to improve their general knowledge about the AngularJS architecture. There are over 20 multiple choice questions with topics ranging from best practices, core module components, directive functionalities to historical information.",0,0,"B01DJJ7ZN8","amzn1.echo-sdk-ams.app.913faff0-7bb4-426a-860d-6b0f78784410","2016-03-30 03:02:36","angular trivia","Alexa, start angular trivia","repeat the question","help","","","No"
"Animal Alphabet","Games","Robert Jamison","You play the Animal Alphabet game by taking turns with Alexa saying the names of animals for each letter in the alphabet.\n\nHOW TO PLAY:\n\nYour game is automatically saved, so if you leave or run out of time, just say ""Alexa, play Animal Alphabet"" again to resume your session.\n\nDuring the game, you can:\n* say ""wait"" to get more time\n* say ""skip"" to go on to the next letter\n* say ""reset"" to start the game over.\n\n----\nLogo by Pixel77 (http://www.pixel77.com/) by CC BY-NC-SA 3.0 (http://creativecommons.org/licenses/by-nc-sa/3.0/)",4,2,"B01DN0KHM4","amzn1.echo-sdk-ams.app.bddf39d8-87aa-4400-81b8-3707d0b6b07a","2016-04-04 01:02:29","animal alphabet","Alexa, play Animal Alphabet.","","","","","No"
"Animal Game","Games","Alex Rublinetsky","Think of an animal and Alexa will play with you to guess it by asking questions. Please respond yes or no.",2.7,52,"B017OBYNZU","amzn1.echo-sdk-ams.app.3dcfc44d-faf0-4441-9a82-16911fd1fbb0","2015-11-06 14:19:49","animal game","Alexa, start Animal Game","","","","","No"
"Animal Sounds","Education","Rain Labs","Ask Alexa to make the sounds of your favorite animals. She learns new animal sounds all the time and is doing her best to imitate them. Don't be afraid when you hear her roar like a lion. She probably won't eat you.",2.3,19,"B01AHGU3M6","amzn1.echo-sdk-ams.app.b1d3107d-03c4-477e-8e4f-ecda428cb91d","2016-01-11 20:23:23","animal sounds","Alexa, ask Animal Sounds what noise a lion says.","Alexa, ask Animal Sounds to imitate a lion.","Alexa, ask animal sounds to make an elephant noise.","","","No"
"Anime Trivia","Games","Dickson Tse","Can you ace questions like these?\n""In Trigun, what is the price on Vash the Stampede's head?""\n""In Death Note, what sport did Light and L play against each other?""\n\nPut your knowledge to the test and see if you can call yourself a true anime fan!",0,0,"B01ET2YNKM","amzn1.echo-sdk-ams.app.43c9e3c3-a248-49bb-8eed-24b973fcc79e","2016-04-27 08:38:30","anime trivia","Alexa, launch Anime Trivia","Repeat","Help","","","No"
